,b,y,x,r
2760,0.09388235294117653,26,56,0.46597495547665363
2761,0.12917647058823523,26,57,0.4674089730911415
2762,0.1397647058823529,26,58,0.4691557088212523
2763,0.15937254901960785,26,59,0.47121168503321115
2764,0.14058823529411768,26,60,0.47357287412067317
2765,0.1484313725490196,26,61,0.47623473633577157
2766,0.14988235294117647,26,62,0.47919226108264634
2767,0.15380392156862743,26,63,0.48244001085006055
2768,0.1448627450980392,26,64,0.48597216695539697
2769,0.14878431372549017,26,65,0.48978257629324884
2770,0.15545098039215688,26,66,0.4938647983247948
2771,0.15627450980392155,26,67,0.498212151605256
2772,0.18709803921568624,26,68,0.5028177592216659
2773,0.13337254901960782,26,69,0.507674592597528
2774,0.15862745098039222,26,70,0.5127755132104546
2775,0.13901960784313727,26,71,0.5181133118597073
2776,0.13811764705882346,26,72,0.5236807452093631
2777,0.17341176470588238,26,73,0.5294705694168881
2778,0.1577254901960784,26,74,0.53547557073415
2779,0.15380392156862743,26,75,0.5416885930368979
2780,0.15380392156862743,26,76,0.5481025622986397
2781,0.1694901960784314,26,77,0.5547105080753248
2782,0.17733333333333334,26,78,0.5615055821083579
2783,0.14431372549019605,26,79,0.5684810741856909
2784,0.12945098039215686,26,80,0.5756304254246803
2785,0.10709803921568628,26,81,0.5829472391569327
2786,0.10799999999999998,26,82,0.5904252896053759
2787,0.11439215686274506,26,83,0.598058528548255
2828,0.14698039215686276,27,20,0.5965646248114639
2829,0.15874509803921566,27,21,0.5886594334705937
2830,0.15400000000000003,27,22,0.5809027006738806
2831,0.16694117647058815,27,23,0.573300452367959
2832,0.19156862745098036,27,24,0.5658589150302528
2833,0.1994117647058824,27,25,0.5585845117365261
2834,0.12882352941176467,27,26,0.5514838563217079
2835,0.20333333333333337,27,27,0.5445637454089295
2836,0.14945098039215687,27,28,0.5378311480780474
2837,0.15784313725490196,27,29,0.5312931929461455
2838,0.17243137254901963,27,30,0.5249571524397777
2839,0.14788235294117646,27,31,0.5188304240532353
2840,0.14658823529411769,27,32,0.5129205084100754
2841,0.15325490196078428,27,33,0.5072349839776932
2842,0.12262745098039218,27,34,0.5017814783278288
2843,0.1548235294117647,27,35,0.4965676358903008
2844,0.1696862745098039,27,36,0.49160108221332616
2845,0.17141176470588237,27,37,0.48688938482139343
2846,0.1439607843137255,27,38,0.48244001085006055
2847,0.13192156862745097,27,39,0.478260281734819
2848,0.12917647058823523,27,40,0.47435732533601765
2849,0.17113725490196074,27,41,0.470738025990702
2850,0.1013725490196078,27,42,0.4674089730911415
2851,0.09662745098039216,27,43,0.4643764088941408
2852,0.1213333333333333,27,44,0.4616461763597
2853,0.15607843137254895,27,45,0.459223667896652
2854,0.17341176470588238,27,46,0.45711377595100766
2855,0.18262745098039213,27,47,0.4553208464047432
2856,0.1617254901960784,27,48,0.4538486357543511
2857,0.14933333333333332,27,49,0.45270027300659965
2858,0.14980392156862743,27,50,0.4518782271621684
2859,0.18317647058823527,27,51,0.451384281056628
2860,0.15380392156862743,27,52,0.45121951219512196
2861,0.12635294117647056,27,53,0.451384281056628
2862,0.16164705882352937,27,54,0.4518782271621684
2863,0.15380392156862743,27,55,0.45270027300659965
2864,0.1812549019607843,27,56,0.4538486357543511
2865,0.1439607843137255,27,57,0.4553208464047432
2866,0.1792549019607843,27,58,0.45711377595100766
2867,0.13494117647058823,27,59,0.459223667896652
2868,0.15352941176470591,27,60,0.4616461763597
2869,0.17086274509803923,27,61,0.4643764088941408
2870,0.14933333333333332,27,62,0.4674089730911415
2871,0.15607843137254895,27,63,0.470738025990702
2872,0.15588235294117647,27,64,0.47435732533601765
2873,0.13482352941176468,27,65,0.478260281734819
2874,0.1577254901960784,27,66,0.48244001085006055
2875,0.13941176470588235,27,67,0.48688938482139343
2876,0.1566274509803922,27,68,0.49160108221332616
2877,0.14878431372549017,27,69,0.4965676358903008
2878,0.1095686274509804,27,70,0.5017814783278288
2879,0.14878431372549017,27,71,0.5072349839776932
